PLAYER,TEAM,AGE,GP,W,L,MIN,DEF RTG,DREB,DREB%,%DREB,STL,STL%,BLK,%BLK,"OPP PTS
OFF TOV","OPP PTS
2ND CHANCE","OPP PTS
FB","OPP PTS
PAINT","DEF
WS"
Mindaugas Kuzminskas,NYK,28,1,0,1,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0.02
Mirza Teletovic,MIL,32,10,4,6,15.9,108.9,2,14.7,18.9,0.4,26.7,0.1,6.7,7.6,3,1.2,12,0.011
Monte Morris,DEN,22,3,2,1,8.4,112.6,0.7,9.5,12.5,1,50,0,0,2,4.3,1,5.3,0.002
Montrezl Harrell,LAC,24,76,39,37,17,107.4,2.7,16.7,22.6,0.5,17.5,0.7,38.2,6.1,5,5,15.8,0.015
Myke Henry,MEM,25,20,3,17,18.9,110.7,1.4,9.2,12.3,1.6,41.3,0.3,19.4,6.5,5.3,5.9,18.3,0.009
Myles Turner,IND,22,65,39,26,28.2,104.8,5,19.2,25.6,0.6,10.7,1.8,58.7,8.1,7.7,6.5,25.2,0.034
Nate Wolters,UTA,27,5,3,2,3.8,106.6,0.2,6.7,9.1,0,0,0,0,0.6,1,0.6,1.2,0.003
Naz Mitrou-Long,UTA,24,1,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.007
Nemanja Bjelica,MIN,30,67,38,29,20.5,108,3.3,18.4,23.5,0.7,23.1,0.2,17.2,6.8,5,5.8,19.8,0.017
Nene,HOU,35,52,42,10,14.6,98.4,2.3,17.9,21.6,0.5,17,0.3,24.6,4.4,3.7,2.7,11.9,0.03
Nerlens Noel,DAL,24,30,6,24,15.7,106.6,4,30.4,37.7,1,38.3,0.7,68.8,5.4,3.4,4.7,13.5,0.016
Nick Collison,OKC,37,15,9,6,5,101.7,0.9,20,25,0,0,0,0,1.5,1.3,1.6,3.6,0.008
Nick Young,GSW,33,80,56,24,17.4,105.3,1.3,8.2,10.6,0.5,17.1,0.1,3.2,7,4.6,5.1,17.5,0.02
Nicolas Batum,CHA,29,64,27,37,31,107.7,3.9,13.7,17.1,1,23.6,0.4,10.7,9.9,7.3,7.2,30.5,0.027
Nicolas Brussino,ATL,25,4,0,4,2.5,40.5,0.8,23.1,25,0,0,0,0,0,0,0,1.5,0.021
Nigel Hayes,SAC,23,9,6,3,13.6,94.9,2,16.4,20,0.2,12.5,0.3,37.5,4.7,3.6,3.6,12,0.031
Nik Stauskas,BKN,24,41,14,27,12.8,105.9,1.5,12.2,15.9,0.2,12.7,0.1,9.1,4.5,3.6,2.6,12.7,0.013
Nikola Jokic,DEN,23,75,43,32,32.6,108,8.1,28.2,35.6,1.2,23.5,0.8,28.1,12.3,6.9,8.4,30.7,0.026
Nikola Mirotic,NOP,27,55,34,21,27.2,105.1,6.3,24,31,0.8,17,0.7,22.2,8.6,7.8,7.4,27.6,0.032
Nikola Vucevic,ORL,27,57,17,40,29.5,106.5,7.4,27.4,35.1,1,18.2,1.1,42.2,10.1,7.2,8.2,30.3,0.03
Noah Vonleh,CHI,22,54,24,30,16.2,104.7,4.5,29.2,36.7,0.4,14.7,0.3,23.3,5.6,4,3.1,13.7,0.019
Norman Powell,TOR,25,70,51,19,15.2,105.9,1.5,11.4,15,0.5,19.5,0.2,13.8,5.4,4.5,3.1,14.4,0.016
OG Anunoby,TOR,20,74,51,23,20,102.2,1.9,10,12.6,0.7,24,0.2,7.5,6.5,5.2,5.6,20.3,0.031
Okaro White,CLE,25,6,2,4,13.3,103,1.3,11,13.8,0.2,16.7,0.2,16.7,5.5,3,2.7,14.7,0.019
Omari Johnson,MEM,29,4,1,3,18.8,119,1.8,11.7,15.9,0.5,13.3,0,0,7.5,6,9.3,16,-0.01
Omer Asik,CHI,31,18,7,11,10.1,112.1,2.1,23.9,29.5,0.1,8,0.2,28.6,4.5,2,2.7,9.6,0.003
Omri Casspi,GSW,29,53,40,13,14,102.8,3.2,23.4,30.7,0.3,14.5,0.4,15.7,5.5,4.3,4.4,14.3,0.02
Otto Porter Jr.,WAS,25,77,42,35,31.6,104.5,5.1,17.9,23.2,1.5,27.6,0.5,18.1,10.6,7.9,6.7,29.6,0.039
PJ Dozier,OKC,21,2,1,1,1.6,108.7,0.5,20,33.3,0,0,0,0,0,1,0,3,0.001
PJ Tucker,HOU,33,82,65,17,27.8,102.9,4.4,18.1,22.8,1,18.4,0.3,11.5,9.3,7,7,26.7,0.04
Pascal Siakam,TOR,24,81,59,22,20.7,102,3.5,19.3,25.2,0.8,20.5,0.5,19.2,6.3,5.3,4.2,18.8,0.032
Pat Connaughton,POR,25,82,49,33,18.1,104.7,1.5,9,11.3,0.3,12.4,0.3,16.7,5.4,4.4,3.9,14.8,0.022
Patrick Beverley,LAC,29,11,5,6,30.3,105.4,2.6,10,13.3,1.7,29.7,0.5,19.2,10.7,7,7.6,22.4,0.033
Patrick McCaw,GSW,22,57,41,16,16.9,107.9,1.2,7.5,10.1,0.8,25.4,0.2,5.9,6.6,4.9,4.9,18.1,0.014
Patrick Patterson,OKC,29,82,48,34,15.5,104.9,2,14.8,19.8,0.6,21.5,0.3,14.7,4.1,4.7,3.1,14.1,0.018
Patty Mills,SAS,29,82,47,35,25.7,104.8,1.6,7,9,0.7,16.5,0.1,4.4,7.6,6.5,6.6,24.8,0.031
Pau Gasol,SAS,37,77,45,32,23.5,101.3,6.4,28.5,36.3,0.3,8.9,1,38.2,7.3,6,6.4,21.3,0.038
Paul George,OKC,28,79,47,32,36.6,105.2,4.7,14.9,19.2,2,28.3,0.5,13.7,11.1,9.7,8.8,33.4,0.043
Paul Millsap,DEN,33,38,22,16,30.1,107,4.7,17.1,22.7,1,20.4,1.2,37.6,10.8,8.1,8.6,28.8,0.028
Paul Zipser,CHI,24,54,17,37,15.3,109.8,2.2,16.5,21.5,0.4,17.4,0.3,25.9,5,3.8,3.2,14.9,0.009
Quincy Acy,BKN,27,70,26,44,19.4,108.1,3.1,17.2,22.1,0.5,19.4,0.4,23.8,6.9,5.4,4.2,16.9,0.015
Quincy Pondexter,CHI,30,23,6,17,8.5,111.9,0.8,11.9,14.4,0.3,24.2,0.1,18.2,3,1.8,1.7,6.9,0.003
Quinn Cook,GSW,25,33,21,12,22.4,107.6,2.2,10.6,14,0.4,10.7,0,1,7.8,6.6,6.6,22.8,0.019
RJ Hunter,HOU,24,5,3,2,9,95,1,10.4,12.5,0.6,60,0,0,2.8,2.6,2.6,7.2,0.021
Rajon Rondo,NOP,32,65,41,24,26.2,106.3,3.6,14,18.5,1.1,23.8,0.2,4.4,9.3,7.9,8.9,26.6,0.027
Ramon Sessions,WAS,32,28,10,18,14,109.9,1.1,9.8,12.7,0.5,21.5,0.1,8.7,5,3.7,4,14.6,0.008
Rashad Vaughn,ORL,21,28,13,15,7.6,108.6,0.6,9.7,13.4,0.2,16.1,0.1,13,2.7,2.5,1.4,7.5,0.005
Raul Neto,UTA,26,41,28,13,12.2,96.8,1,8.9,10.9,0.3,14.9,0.1,6.2,3.4,2.3,2,9.7,0.026
Raymond Felton,OKC,33,82,48,34,16.6,105.1,1.6,11.2,15,0.6,20.9,0.2,10.7,4.5,5,3,14.7,0.019
Reggie Bullock,DET,27,62,32,30,27.9,105.6,2,8.1,10.3,0.8,18.2,0.2,8.6,8.8,6.9,6.5,25.6,0.031
Reggie Hearn,DET,26,3,3,0,2.2,105.6,0,0,0,0,0,0,0,1.3,2.3,0.7,1.3,0.003
Reggie Jackson,DET,28,45,27,18,26.7,105.9,2.1,9.3,12.1,0.6,13.4,0.1,5.3,8.2,6,5.9,24.1,0.028
Richard Jefferson,DEN,37,20,10,10,8.2,111.9,0.8,10.9,13.6,0.1,8.7,0.1,5.6,3.5,1.7,3.3,7.8,0.003
Richaun Holmes,PHI,24,48,30,18,15.5,106.2,3.2,20.6,27,0.4,16.1,0.6,42,6,4.7,3.6,14.3,0.016
Ricky Rubio,UTA,27,77,44,33,29.3,101.3,4,15.5,19.5,1.6,27.8,0.1,5.1,10,6.7,5.7,25.5,0.048
Robert Covington,PHI,27,80,51,29,31.6,99,4.7,15.5,19.3,1.7,28.4,0.9,25.8,11.1,7.6,6.5,26.3,0.061
Robin Lopez,CHI,30,64,23,41,26.4,107,2.4,10.1,12.2,0.2,5.5,0.8,37.6,8.4,5.5,6.5,24,0.024
Rodney Hood,CLE,25,60,29,31,26.9,108.6,2.4,10.2,13,0.8,17.6,0.2,8.5,8.8,6.3,5.6,24.7,0.02
Rodney McGruder,MIA,26,18,11,7,16.6,105.9,1.2,8.5,10.7,0.4,14.8,0.2,7.7,4.3,3.8,3.6,13.7,0.018
Rodney Purvis,ORL,24,16,5,11,18.1,106.4,1.6,9.8,12.7,0.2,6.7,0.2,9.4,5.3,4.8,5.9,16.6,0.018
Ron Baker,NYK,25,29,12,17,13.3,104,0.9,7.5,10,0.9,41.9,0.2,14.6,4.6,3.7,2.1,11.7,0.017
Rondae Hollis-Jefferson,BKN,23,68,26,42,28.2,108.4,5.3,19.7,25.5,1,27.1,0.7,23.3,10.3,7.7,7.4,28.9,0.022
Royce O'Neale,UTA,24,69,43,26,16.7,97.3,3.1,19.9,24.5,0.5,19.1,0.2,11.8,5,3.7,2.9,14,0.036
Rudy Gay,SAS,31,57,36,21,21.6,103.9,3.8,19.7,25.1,0.8,25.3,0.7,30.9,6.9,5.3,5.6,19.7,0.028
Rudy Gobert,UTA,25,56,37,19,32.4,97.7,7.8,26.2,32.6,0.8,14.1,2.3,61.7,11.5,7.1,6.5,26.5,0.068
Russell Westbrook,OKC,29,80,47,33,36.4,104.4,8.2,25.4,32.3,1.8,25.8,0.3,6.9,11.2,9.3,9,33.5,0.046
Ryan Anderson,HOU,30,66,52,14,26.1,106.5,3.6,15.6,19.3,0.4,8.7,0.3,13.5,8.8,6.1,7.2,27.5,0.026
Ryan Arcidiacono,CHI,24,24,6,18,12.7,103.8,1,8.5,10.6,0.5,23.2,0,0,4.5,2.5,2.6,10.9,0.017
Salah Mejri,DAL,31,61,21,40,11.9,103.7,2.6,24.4,31.2,0.4,21.2,1.1,68.4,3,3.5,3,9.4,0.016
Sam Dekker,LAC,24,73,36,37,12.1,103.8,1.8,15.7,20.9,0.3,16.3,0.1,10.1,4.2,3.1,4.2,11.4,0.016
Scotty Hopson,DAL,28,1,0,1,8.4,123,0,0,0,0,0,0,0,4,2,7,18,-0.01
Sean Kilpatrick,CHI,28,52,22,30,12.3,110.7,1.6,14.7,18.5,0.3,11.9,0.1,10.6,4.4,2.8,2.7,11.8,0.006
Semi Ojeleye,BOS,23,73,50,23,15.8,103.8,1.7,11.9,15.3,0.3,11.9,0.1,4.3,5.4,3.6,3,15.1,0.021
Serge Ibaka,TOR,28,76,53,23,27.5,104.7,5.3,20.3,25.6,0.4,10.1,1.3,39.9,8.7,7.4,7.3,26.3,0.034
Shabazz Muhammad,MIL,25,43,25,18,9.7,115.2,1.2,15.1,20.4,0.2,12.2,0.1,10,3.1,3.2,2.7,10.7,-0.001
Shabazz Napier,POR,26,74,46,28,20.7,103.6,1.9,10.1,13,1.1,37,0.2,9.1,6.3,5.2,4.3,18.1,0.027
Shane Larkin,BOS,25,54,39,15,14.3,99,1.4,11.2,14.3,0.5,22.3,0,2.9,4.3,3.4,2.6,13.1,0.027
Shaquille Harrison,PHX,24,23,3,20,16.7,104.2,2.3,14.5,18.3,1.1,33.3,0.3,20,6.6,4.1,3.9,14.3,0.021
Shaun Livingston,GSW,32,71,49,22,15.9,101.3,1.4,9.2,12.1,0.5,18.5,0.3,10.2,5.9,4.6,4.3,14.6,0.026
Shelvin Mack,ORL,28,69,21,48,19.8,105.2,2.1,11.8,15.7,0.8,25.5,0.1,5.6,7.1,5,4.9,18.1,0.022
Sindarius Thornwell,LAC,23,73,36,37,15.8,105.3,1.5,9.9,12.8,0.7,26.7,0.3,22.9,6,4.5,4.8,14.2,0.018
Skal Labissiere,SAC,22,60,19,41,20.7,108.8,3.2,17.8,23.2,0.4,12.6,0.8,42.2,6.6,5.8,4.8,19,0.015
Solomon Hill,NOP,27,12,8,4,15.6,106.3,2.3,14,17.4,0.6,20,0.1,5,6.4,4.7,4.5,15.8,0.017
Spencer Dinwiddie,BKN,25,80,28,52,28.8,108.9,2.7,10.4,13.4,0.9,23.4,0.3,10.6,9.4,7.8,6.6,28.1,0.02
Stanley Johnson,DET,22,69,33,36,27.4,104.2,3.2,13,16.5,1.4,28.9,0.2,10.4,8,6.5,5.8,23.7,0.035
Stephen Curry,GSW,30,51,41,10,32,105.7,4.4,14.1,18.5,1.6,27.9,0.2,3.3,12.3,9,9.9,32.5,0.037
Sterling Brown,MIL,23,54,26,28,14.4,103.7,2.1,17,23,0.6,22.3,0.2,14.9,4.8,4.3,3.6,14.7,0.019
Steven Adams,OKC,24,76,43,33,32.7,104.8,4,13.8,17.5,1.2,19.6,1,33.9,9.8,8.4,8.1,29.6,0.04
T.J. McConnell,PHI,26,76,50,26,22.4,104.2,2.5,11.6,15,1.2,32.9,0.2,6.8,9.6,6.3,5,20.1,0.029
TJ Leaf,IND,21,53,31,22,8.7,113.6,1,13.6,18.2,0.1,7.7,0.1,12.5,2.6,2.5,2.2,9.1,0.001
TJ Warren,PHX,24,65,18,47,33,111.6,3.2,10.5,13.9,1,22.8,0.6,17.9,13.1,9.4,10.7,33.6,0.012
Taj Gibson,MIN,32,82,47,35,33.2,107.1,4.8,16.4,21.5,0.8,12.9,0.7,22.7,9.9,9.1,8.9,31.1,0.031
Tarik Black,HOU,26,51,40,11,10.5,104.8,2,20.8,26.3,0.4,23.1,0.6,57.7,4.6,2.8,3,10.2,0.013
Taurean Prince,ATL,24,82,24,58,30,109.8,4.1,15.4,20.3,1,20.7,0.5,18.1,11.8,8.2,8.5,28.7,0.018
Terrance Ferguson,OKC,20,61,37,24,12.5,110.3,0.5,4.3,5.7,0.4,18.9,0.2,12,4.1,3.7,3.6,11.6,0.007
Terrence Ross,ORL,27,24,10,14,25,105.7,2.6,11.4,15.1,1.1,24.3,0.5,15.7,8.2,7,6.5,26.3,0.028
Terry Rozier,BOS,24,80,54,26,25.9,101,3.9,16.4,21,1,25.5,0.2,10.5,8,6.1,5.5,23.2,0.043
Thabo Sefolosha,UTA,34,38,16,22,21.2,102.1,3.5,19.1,23.9,1.4,30.4,0.3,13.8,6.9,4.9,3.7,18,0.032
Thaddeus Young,IND,29,81,48,33,32.2,104.2,4,14.1,18.6,1.7,25.6,0.4,16.1,10,8.6,8.5,30,0.041
Thomas Bryant,LAL,20,15,7,8,4.8,106.4,0.9,22.6,28.6,0.1,9.1,0.1,25,1.6,1.3,1.1,6.4,0.005
Thon Maker,MIL,21,74,40,34,16.7,110.4,2,15.4,21.1,0.5,16.7,0.7,41.7,5.3,5.1,3.6,16.6,0.009
Tim Frazier,WAS,27,59,31,28,14.2,107.8,1.6,13.9,17.6,0.8,32.9,0.1,11.3,4.8,3.6,2.7,12,0.012
Tim Hardaway Jr.,NYK,26,57,19,38,33.1,109.2,3.4,11.1,14.4,1.1,23.8,0.2,5.5,10.7,9,8.3,29.3,0.022
Tim Quarterman,HOU,23,3,2,1,4.3,92.2,1,18.8,21.4,0,0,0,0,4,1.7,3.3,4.7,0.013
Timofey Mozgov,BKN,31,31,12,19,11.6,105.5,2.1,20,24.3,0.2,8.8,0.4,35.1,4.9,2.6,2.7,11.1,0.013
Timothe Luwawu-Cabarrot,PHI,23,52,29,23,15.5,102.7,1.1,7.2,9.3,0.2,11.1,0.1,6,6.4,3.9,4.2,13.5,0.023
Tobias Harris,LAC,25,80,39,41,33.3,109.3,4.7,16.3,20.9,0.9,17.2,0.4,18.4,11.1,8.3,8.6,32,0.022
Tomas Satoransky,WAS,26,73,39,34,22.5,104.8,2.2,11.1,14.2,0.7,20.2,0.2,10.6,8.3,5.6,4.6,21.4,0.027
Tony Allen,NOP,36,22,12,10,12.4,103.7,1.2,10.3,13.5,0.5,22.9,0.1,13.6,4.5,3.9,2.1,10.8,0.017
Tony Bradley,UTA,20,9,6,3,3.2,97.5,0.8,28,33.3,0,0,0,0,0.3,0.8,0.8,1.3,0.007
Tony Parker,SAS,36,55,32,23,19.5,105.3,1.6,9.3,12,0.5,16.7,0,0.9,6.1,5.4,6.1,18.7,0.022
Tony Snell,MIL,26,75,42,33,27.4,108.9,1.8,7.6,10,0.6,12.9,0.4,12.4,9.5,7.3,5.7,27.7,0.02
Torrey Craig,DEN,27,39,22,17,16.1,111.1,2.2,15.2,19.1,0.3,13.5,0.4,23.1,5.6,3.4,4.3,15.4,0.007
Travis Wear,LAL,27,17,7,10,13.4,103.2,2.2,18.2,22.1,0.2,13.3,0.3,22.7,4.5,2.9,3,12.4,0.018
Treveon Graham,CHA,24,63,28,35,16.7,108.3,1.3,8.8,10.7,0.5,20.8,0,2.6,4.8,3.8,3.3,14.9,0.013
Trevor Ariza,HOU,32,67,51,16,33.9,104.3,3.9,13,16.5,1.5,23.7,0.2,6,12,8.3,9.2,35.4,0.043
Trevor Booker,IND,30,68,36,32,17,106.6,3,19.5,25,0.4,14.7,0.3,20.6,6.4,4.6,3.7,15,0.017
Trey Burke,NYK,25,36,10,26,21.8,114.2,1.6,8.5,11.4,0.7,22.9,0.1,4.8,6.9,6.8,4.6,21.8,0.001
Trey Lyles,DEN,22,73,41,32,19.1,109,4,24.1,30.7,0.4,14.4,0.5,22.2,7,3.6,4.6,18.3,0.013
Trey McKinney-Jones,IND,27,1,1,0,1.2,138.9,0,0,0,0,0,0,0,0,0,0,2,-0.004
Tristan Thompson,CLE,27,53,27,26,20.2,112.1,4.3,23.6,28.7,0.3,11.6,0.3,24.6,7.7,4.4,5.8,20.2,0.006
Troy Daniels,PHX,26,79,20,59,20.5,113.3,1.5,7.9,10.5,0.3,11.9,0.1,3.8,8.4,5.6,5.6,20.3,0.003
Troy Williams,NYK,23,21,7,14,14.6,113.9,2,15.2,20.3,1,40,0.2,13.8,5.9,3.7,4.2,15.7,0.001
Tyler Cavanaugh,ATL,24,39,11,28,13.3,108.2,2.1,19.7,25,0.2,9.9,0.1,12.9,4.5,3.3,3.1,13.4,0.011
Tyler Dorsey,ATL,22,56,15,41,17.4,109.4,2,12.5,15.5,0.3,14.7,0.1,7.1,6.8,4.1,5.6,16.3,0.011
Tyler Ennis,LAL,23,54,22,32,12.7,102.2,1.4,11.4,14.6,0.6,32.3,0.2,16.1,4.6,3.5,2.9,12.3,0.019
Tyler Johnson,MIA,26,72,39,33,28.5,103.9,3,11.9,15,0.8,17.9,0.5,16.3,9,6.7,6.6,26.3,0.037
Tyler Lydon,DEN,22,1,1,0,2.2,225,0,0,0,0,0,0,0,0,2,3,4,-0.026
Tyler Ulis,PHX,22,71,20,51,23.4,110.3,1.5,6.8,9,1,28.9,0.1,4.7,9,6.3,7.1,22.6,0.012
Tyler Zeller,MIL,28,66,27,39,16.8,106.1,3,18.5,23.4,0.2,10,0.5,36.5,6,4,4.8,16.3,0.018
Tyreke Evans,MEM,28,52,19,33,30.9,105.6,4.3,15.6,20.8,1.1,23,0.3,9.5,9.4,7.5,8.8,25.7,0.034
Tyrone Wallace,LAC,23,30,17,13,28.4,107,2.8,10.2,13.6,0.9,18.4,0.4,14.6,11.7,8.7,9.8,28.7,0.027
Tyson Chandler,PHX,35,46,15,31,25,111.3,6.2,26.6,34.8,0.3,10.7,0.6,27,10.1,7,8.3,23.4,0.01
Tyus Jones,MIN,22,82,47,35,17.9,105.7,1.4,9.4,12.2,1.2,35.1,0.1,4.7,5.4,4.8,4.1,17.5,0.019
Udonis Haslem,MIA,37,14,9,5,5.1,93.9,0.5,10.6,13.2,0,0,0.1,40,1.2,1.6,0.6,3.9,0.012
Vander Blue,LAL,25,5,1,4,9,88,0.2,2.6,2.9,0.2,8.3,0,0,4.8,2,0,6.8,0.029
Victor Oladipo,IND,26,75,48,27,34,102.9,4.6,14.6,19.5,2.4,33.8,0.8,24.7,10.5,9.3,8.5,30.2,0.049
Vince Carter,SAC,41,58,20,38,17.7,106.2,2.2,15,19.5,0.7,22.8,0.4,28,5.3,4.2,4.3,14.4,0.018
Vincent Hunter,MEM,23,4,0,4,1.9,93.2,0.3,20,25,0,0,0.3,100,0.5,0,0.5,0.5,0.004
Wade Baldwin IV,POR,22,7,4,3,11.5,101.9,1,10.3,11.9,0.3,16.7,0.1,16.7,4.7,2,3.7,8.9,0.018
Walter Lemon Jr.,NOP,25,5,4,1,7,123.6,0.4,7.4,9.5,0,0,0.2,25,1.4,2,3.6,10.8,-0.008
Wayne Ellington,MIA,30,77,42,35,26.5,103.9,2.5,10.7,13.5,0.7,17.7,0.1,3.5,8.3,6.3,5.3,23,0.034
Wayne Selden,MEM,23,35,10,25,19.8,108.7,1.1,6.9,8.9,0.5,15.9,0.1,7,7.9,4.8,6.1,18.5,0.015
Wes Iwundu,ORL,23,62,18,44,16.5,104.6,1.6,11.3,14.7,0.5,20.5,0.2,13,5,3.7,4.7,15.5,0.02
Wesley Johnson,LAC,30,74,38,36,20.1,106.9,2.5,13.6,17.9,1,28.5,0.8,38.8,7.7,5.4,6.3,18.4,0.019
Wesley Matthews,DAL,31,63,20,43,33.8,111.1,2.7,9.5,12.2,1.2,24.1,0.3,9.5,10,7.8,10.3,30.5,0.015
Will Barton,DEN,27,81,46,35,33.1,108.5,4.2,14.1,18.3,1,19.5,0.6,18.6,13,7.8,8.8,33.3,0.025
Willie Cauley-Stein,SAC,24,73,23,50,28,108.8,5.2,22.7,29.1,1.1,22.4,0.9,38.1,9.8,5.9,7.7,23.9,0.02
Willie Reed,DET,28,42,20,22,10.2,106.5,2,23.6,31.4,0.2,12,0.5,50,4.2,2.9,3.3,10.1,0.011
Willy Hernangomez,CHA,24,48,20,28,10.3,105.3,2.5,27.6,34.4,0.4,23.7,0.3,39,3.8,2.5,2.4,9,0.012
Wilson Chandler,DEN,31,74,41,33,31.7,108.4,4,14.1,18.1,0.6,11.1,0.5,15.7,12,7.3,9.1,31,0.024
Xavier Munford,MIL,26,6,2,4,3.5,125.5,0,0,0,0.2,50,0,0,0.8,0.8,0.8,3.3,-0.004
Xavier Rathan-Mayes,MEM,24,5,0,5,23.6,113,1,6.1,8.5,1.2,27.3,0.6,27.3,11.8,7.8,7.6,21.6,0.005
Xavier Silas,BOS,30,2,1,1,3.7,114.2,0.5,12.5,20,0.5,100,0,0,2.5,2,0,5,0
Yogi Ferrell,DAL,25,82,24,58,27.8,103.8,2.7,11,14.1,0.8,19.1,0.1,4.7,7.6,6.5,7.5,23.2,0.037
Zach Collins,POR,20,66,41,25,15.8,106.6,2.7,18.2,22.8,0.3,14.7,0.5,34.8,4.5,3.7,3.8,13,0.015
Zach LaVine,CHI,23,24,9,15,27.3,114.8,3.5,15,18.4,1,23.3,0.2,8.9,9.4,5.5,6.5,27.5,-0.001
Zach Randolph,SAC,36,59,18,41,25.6,114.3,5.1,24,30.4,0.7,18.1,0.2,9.5,9.2,6,8.2,23.3,0.001
Zaza Pachulia,GSW,34,69,47,22,14.1,105.5,3.4,25.3,32.4,0.6,24.4,0.2,15,5.1,3.7,4.4,14.6,0.016
Zhou Qi,HOU,22,18,14,4,6.9,106.8,0.9,13.3,16.8,0.1,11.8,0.8,77.8,2.8,1.9,0.9,6.3,0.007
